,Name,club,Appearances,Wins,Losses,Clean sheets,Goals conceded,Tackles,Tackle success (%),Last man tackles,Blocked shots,Interceptions,Clearances,Headed clearances,Clearances off the line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goals,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Free-kicks scored,Shots,Shots on target,Shot accuracy,Hit the woodwork,Big chances missed,Yellow cards,Red cards,Fouls commited,Offsides,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy (%),Through balls,Accurate long balls
0,Max Aarons,['Norwich City'],36,4,26,5,71,48,63%,0,6,37,73,28,2,178,167,175,48,22,50,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,7,0,29,3,1,"1,339",37.19,7,73,22%,0,38
1,Abdul Rahman Baba,"['Chelsea', 'Chelsea']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
2,Tammy Abraham,"['Aston Villa (Loan)', 'Chelsea', 'Chelsea']",34,19,10,No value,No value,8,No value,No value,14,6,27,23,No value,No value,No value,No value,No value,No value,No value,No value,No value,15,0.44,3,12,0,0,0,88,40,45%,3,22,2,0,17,23,3,407,11.97,3,11,No value,No value,No value
3,Che Adams,['Southampton'],30,13,12,No value,No value,6,No value,No value,14,2,9,3,No value,No value,No value,No value,No value,No value,No value,No value,No value,4,0.13,0,4,0,0,0,36,10,28%,1,8,0,0,17,10,2,248,8.27,5,13,No value,No value,No value
4,Tosin Adarabioyo,"['Manchester City', 'Manchester City']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
5,Dennis Adeniran,"['Fulham', 'Everton']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
6,Albert Adomah,['Aston Villa'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
7,Adrián,"['Liverpool', 'West Ham United']",11,11,0,2,10,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,2,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0,0,No value,0,260,23.64,No value,No value,No value,No value,50
8,Adrien Silva,"['Leicester City', 'Leicester City', 'Leicester City']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
9,Daniel Adshead,['Norwich City'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
10,Benik Afobe,['Wolverhampton Wanderers'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
11,Sergio Agüero,['Manchester City'],24,16,6,No value,No value,7,No value,No value,22,3,2,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,16,0.67,2,12,2,2,0,76,28,37%,5,12,1,0,9,6,3,354,14.75,4,9,No value,No value,No value
12,Daniel Agyei,['Burnley'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
13,Soufyan Ahannach,['Brighton & Hove Albion'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
14,Ahmed El Mohamady,['Aston Villa'],18,4,10,2,28,19,47%,0,1,13,22,10,0,73,60,51,7,30,21,0,0,1,No value,1,0,0,No value,No value,No value,No value,No value,0,No value,1,0,13,2,1,498,27.67,3,58,33%,0,33
15,Ola Aina,"['Chelsea', 'Chelsea']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
16,Albian Ajeti,"['West Ham United', 'West Ham United']",9,0,7,No value,No value,1,No value,No value,2,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,3,0,0%,0,0,0,0,6,2,0,15,1.67,0,0,No value,No value,No value
17,Nathan Aké,"['AFC Bournemouth', 'AFC Bournemouth']",29,7,16,4,46,31,68%,0,6,36,147,78,0,140,107,83,3,62,63,0,0,2,No value,1,0,1,No value,No value,No value,No value,No value,1,No value,2,0,9,3,2,"1,210",41.72,2,5,0%,1,53
18,Alberto Moreno,['Liverpool'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
19,Marc Albrighton,['Leicester City'],20,8,7,No value,No value,24,71%,No value,3,10,7,4,No value,67,52,63,14,3,7,No value,0,0,0.00,0,0,0,0,0,10,2,20%,1,0,2,0,7,1,3,407,20.35,5,69,16%,3,23
20,Toby Alderweireld,['Tottenham Hotspur'],33,15,9,7,39,40,73%,0,3,31,170,82,1,154,117,109,0,73,73,1,0,2,No value,1,1,0,No value,No value,No value,No value,No value,0,No value,7,0,18,1,2,"1,978",59.94,2,9,44%,12,141
21,Aleix García,['Manchester City'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
